participant_id,sex,age,height_in,survey_weight
131783,female,48,66.6,47395.903
131785,male,35,72.6,30058.329
131786,male,28,68.8,71813.746
131787,male,61,73.3,15838.667
131789,male,38,68.0,39802.322
131790,male,45,67.2,39332.937
131791,male,55,65.2,24295.637
131796,female,75,58.7,24697.19
131797,male,58,66.7,29866.949
131798,female,53,60.2,21804.944
131799,female,49,63.7,33726.83
131800,female,54,62.2,19049.309
131803,female,46,63.7,29438.196
131804,female,40,63.7,52506.136
131805,male,43,64.9,25447.235
131806,male,58,64.2,41647.139
131807,female,70,58.0,18602.085
131808,male,72,67.0,31451.929
131812,male,25,69.2,27324.683
131814,male,45,62.5,37361.77
131816,female,31,69.4,43842.687
131822,male,70,69.1,23666.127
131823,female,65,60.3,25603.589
131824,female,74,57.7,22317.653
131826,female,21,68.4,48578.709
131827,male,52,70.7,18744.256
131828,female,43,62.9,27953.298
131829,female,75,62.4,16467.201
131831,female,69,66.8,22430.369
131833,female,55,61.2,43743.473
131835,male,30,67.6,27822.884
131837,male,59,66.2,27112.684
131838,male,47,68.2,56460.33
131841,male,62,64.4,51651.608
131842,male,25,76.2,54393.895
131844,female,40,63.9,16714.716
131849,male,61,70.6,29968.206
131850,female,73,68.7,39686.991
131852,male,20,73.0,84267.506
131856,female,65,64.9,23168.088
131860,male,25,72.1,31822.989
131862,female,34,68.6,29055.589
131864,male,64,70.3,22370.116
131867,female,22,62.8,24112.899
131871,female,26,62.8,59332.6
131872,male,63,66.3,10609.549
131874,male,41,69.0,42178.842
131875,female,33,58.9,53699.308
131876,female,38,66.5,75862.803
131877,female,70,64.0,23238.307
131880,male,27,61.8,112759.669
131883,male,76,66.0,33692.815
131884,male,66,68.0,27919.139
131890,female,80,60.7,36201.16
131891,female,32,55.2,44174.505
131892,male,69,69.3,35295.914
131898,female,71,63.9,18136.842
131899,female,80,61.8,33312.916
131901,male,31,74.4,30173.106
131902,male,61,66.2,24102.363
131903,female,64,61.8,30431.874
131904,male,25,71.0,65218.876
131905,male,35,70.4,77021.904
131906,female,60,63.3,11062.258
131911,male,37,74.6,59727.348
131912,female,60,58.9,40787.935
131913,male,80,65.0,28516.541
131922,male,38,66.5,19831.906
131923,male,63,66.9,21130.578
131924,female,30,62.3,14004.643
131926,male,59,70.9,123548.494
131928,male,62,63.8,27066.768
131929,female,53,66.9,31758.918
131932,male,75,66.9,18153.976
131934,male,47,70.9,30517.661
131936,female,80,59.2,40343.852
131937,female,72,62.8,12001.973
131938,female,22,65.3,78267.401
131939,female,67,67.8,10116.885
131940,female,65,62.4,30431.874
131944,female,59,64.6,24440.029
131945,male,58,69.2,24004.64
131946,female,77,61.3,27873.355
131947,male,26,69.6,79045.862
131948,female,34,65.1,46216.423
131951,male,69,64.1,25158.491
131954,male,53,66.4,16006.024
131955,female,29,58.5,49100.817
131958,male,20,67.7,45354.025
131959,female,70,59.8,12615.638
131962,female,44,64.4,69127.23
131967,male,71,68.4,16873.558
131970,female,76,61.9,69296.252
131972,female,26,58.0,19404.627
131974,female,34,66.3,13152.456
131975,male,70,62.4,27766.488
131976,female,70,65.9,33798.185
131979,male,37,63.3,80191.756
